class_name,total_images,train_count,val_count,test_count
aloe_vera,22,17,2,3
euphorbia milii - Google Search,30,24,3,3
frangipani - Google Search,34,27,3,4
gulmohar plant - Google Search,15,12,1,2
Indian pennywort,23,18,2,3
lantana - Google Search,44,35,4,5
neem,26,20,2,4
passiflora - Google Search,33,26,3,4
